Review,Sentiment,Cleaned_Review,Sentiment_Label,Review_Length,Word_Count
Very wind-resistant.,1,very windresistant,Positive,18,2
"Obviously they have a terrible customer service, so you get what you pay for.",0,obviously they have a terrible customer service so you get what you pay for,Negative,75,14
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1,they do not last forever but is not overly expensive to replaceeasy to operate and the sound is much better than others i have tried,Positive,132,25
"I contacted the company and they told me that, although the unit was still under warranty, if I couldn't produce my receipt I was out of luck.",0,i contacted the company and they told me that although the unit was still under warranty if i couldnt produce my receipt i was out of luck,Negative,138,27
Linksys should have some way to exchange a bad phone for a refurb unit or something!,0,linksys should have some way to exchange a bad phone for a refurb unit or something,Negative,83,16
Phone is sturdy as all nokia bar phones are.,1,phone is sturdy as all nokia bar phones are,Positive,43,9
Great phone.,1,great phone,Positive,11,2
"When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.",0,when i placed my treo into the case not only was it not snug but there was a lot of extra room on the sides,Negative,107,25
I'm pleased.,1,im pleased,Positive,10,2
Battery is terrible.,0,battery is terrible,Negative,19,3
I found the product to be easy to set up and use.,1,i found the product to be easy to set up and use,Positive,48,12
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,0,the earpiece on this is too large or too heavyit keeps falling out of my ear,Negative,76,16
Utter crap.. Sound quality is TERRIBLE.,0,utter crap sound quality is terrible,Negative,36,6
"The charger arrived within the promised timeframe, but it did not work.",0,the charger arrived within the promised timeframe but it did not work,Negative,69,12
"No ear loop needed, it's tiny and the sound is great.",1,no ear loop needed its tiny and the sound is great,Positive,50,11
"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",0,finally after three or four times the spring of the latch broke and i could not use it any longer on the visor,Negative,110,23
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1,the handsfree part works fine but then the car tries to download the address book and the treo rebootsoverall i still rate this device high,Positive,139,25
Talk about USELESS customer service.,0,talk about useless customer service,Negative,35,5
"It felt too light and ""tinny."".",0,it felt too light and tinny,Negative,27,6
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,0,this does not fit the palm tungsten e and it broke the first time i tried to plug it in,Negative,87,20
I'm happy about this purchase- good quality and low price.,1,im happy about this purchase good quality and low price,Positive,55,10
I love the look and feel of Samsung flipphones.,1,i love the look and feel of samsung flipphones,Positive,46,9
Its well-designed and very sharp -- the blue is a very nice color.,1,its welldesigned and very sharp the blue is a very nice color,Positive,61,12
Does everything it should and more.,1,does everything it should and more,Positive,34,6
I could not recommend these more.,0,i could not recommend these more,Negative,32,6
Nice Sound.,1,nice sound,Positive,10,2
"Looks good in the picture, but this case was a huge disappointment!!",0,looks good in the picture but this case was a huge disappointment,Negative,65,12
Much less than the jawbone I was going to replace it with.,1,much less than the jawbone i was going to replace it with,Positive,57,12
Setup went very smoothly.,1,setup went very smoothly,Positive,24,4
its extremely slow and takes forever to do anything with it.,0,its extremely slow and takes forever to do anything with it,Negative,59,11
"A must study for anyone interested in the ""worst sins"" of industrial design.",0,a must study for anyone interested in the worst sins of industrial design,Negative,73,13
The first thing that happened was that the tracking was off.,0,the first thing that happened was that the tracking was off,Negative,59,11
"It is well made, easy to access the phone and has a handy, detachable belt clip.",1,it is well made easy to access the phone and has a handy detachable belt clip,Positive,77,16
Then I had to continue pairing it periodically since it somehow kept dropping.,0,then i had to continue pairing it periodically since it somehow kept dropping,Negative,77,13
Can't upload ringtones from a third party.,0,cant upload ringtones from a third party,Negative,40,7
"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.",0,bluetooth does not work phone locks up screens just flash up and now it just makes calls randomly while in my pocket locked,Negative,123,23
Truly awful.,0,truly awful,Negative,11,2
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1,it works fine on my motorola cellphone and a lot better than the wornout battery did,Positive,84,16
The volume for the ringer is REAL good (you have choices how loud).,1,the volume for the ringer is real good you have choices how loud,Positive,64,13
And none of the tones is acceptable.,0,and none of the tones is acceptable,Negative,35,7
camera color balance is AWFUL.,0,camera color balance is awful,Negative,29,5
"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.",0,this product is clearly not ready for prime time i dont care how cool it looks if you cant tell a call is coming in its worthless,Negative,129,27
I love the ringtones because they are so upbeat!,1,i love the ringtones because they are so upbeat,Positive,47,9
Chinese Forgeries Abound!.,0,chinese forgeries abound,Negative,24,3
Easy to pair with my Samsung Cell.,1,easy to pair with my samsung cell,Positive,33,7
The instructions didn't explain that a microphone jack could be used.,0,the instructions didnt explain that a microphone jack could be used,Negative,67,11
i would advise to not purchase this item it never worked very well.,0,i would advise to not purchase this item it never worked very well,Negative,66,13
Too bad you have to pay up to $$$ a month for the service!,0,too bad you have to pay up to a month for the service,Negative,53,13
Works well.,1,works well,Positive,10,2
The nokia CA-42 USB cable did not work with my phone.,0,the nokia ca usb cable did not work with my phone,Negative,49,11
Clear crisp sound.,1,clear crisp sound,Positive,17,3
"I have to use the smallest earpieces provided, but it stays on pretty well.",1,i have to use the smallest earpieces provided but it stays on pretty well,Positive,73,14
"The biggest complaint I have is, the battery drains superfast.",0,the biggest complaint i have is the battery drains superfast,Negative,60,10
The design might be ergonomic in theory but I could not stand having these in my ear.,0,the design might be ergonomic in theory but i could not stand having these in my ear,Negative,84,17
Do NOT buy if you want to use the holster.,0,do not buy if you want to use the holster,Negative,41,10
The phone can also take great pictures and even video clips.,1,the phone can also take great pictures and even video clips,Positive,59,11
It doesn't make you look cool.,0,it doesnt make you look cool,Negative,28,6
"Because both ears are occupied, background is not distracting at all.",1,because both ears are occupied background is not distracting at all,Positive,67,11
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1,comfortable fit you need your headset to be comfortable for at least an hour at a time if not for an entire day,Positive,111,23
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0,also the phone doesnt seem to accept anything except cbr mps preferably ripped by windows media player,Negative,102,17
You can't beat the price on these.,1,you cant beat the price on these,Positive,32,7
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1,comes with a strong light that you can use to light up your camera shots and even flash sos signals seriously,Positive,109,21
lightweight and works well.,1,lightweight and works well,Positive,26,4
So just beware.,0,so just beware,Negative,14,3
I love this cable - it allows me to connect any mini-USB device to my PC.,1,i love this cable it allows me to connect any miniusb device to my pc,Positive,69,15
So anyone near you will hear part of your conversation.,0,so anyone near you will hear part of your conversation,Negative,54,10
This is cool because most cases are just open there allowing the screen to get all scratched up.,1,this is cool because most cases are just open there allowing the screen to get all scratched up,Positive,95,18
I bought this phone as a replacement for my StarTac and have regretted it since.,0,i bought this phone as a replacement for my startac and have regretted it since,Negative,79,15
Appears to actually outperform the original battery from China that came with my V325i.,1,appears to actually outperform the original battery from china that came with my vi,Positive,83,14
Can't store anything but phone numbers to SIM.,0,cant store anything but phone numbers to sim,Negative,44,8
"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",0,it lasts less than o minutes if i actually try to use the phonemy wife has the same phone with the same problem,Negative,111,23
Poor quality.,0,poor quality,Negative,12,2
"jabra ear gels ""R"" the best!.",1,jabra ear gels r the best,Positive,25,6
Not worth it.,0,not worth it,Negative,12,3
The phone crashed completely and now I have to get it replaced.,0,the phone crashed completely and now i have to get it replaced,Negative,62,12
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1,it quit working after id used it for about months so i just purchased another one because this is the best headset ive ever owned,Positive,129,25
"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0,unfortunately it will not recharge my iphone s despite connecting it from multiple power sources imac external battery wall outlet etc,Negative,134,21
It was a great phone.,1,it was a great phone,Positive,20,5
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0,if you simply want a small flip phone look elsewhere as the extra bells whistles are mediocre,Negative,93,17
"Good value, works fine - power via USB, car, or wall outlet.",1,good value works fine power via usb car or wall outlet,Positive,54,11
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1,my phone doesnt slide around my car now and the grip prevents my phone from slipping out of my hand,Positive,99,20
This is simply the BEST bluetooth headset for sound quality!,1,this is simply the best bluetooth headset for sound quality,Positive,59,10
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0,think it over when you plan to own this onethis sure is the last moto phone for me,Negative,82,18
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1,in the span of an hour i had two people exclaim whoa is that the new phone on tv,Positive,80,19
I have always used corded headsets and the freedom from the wireless is very helpful.,1,i have always used corded headsets and the freedom from the wireless is very helpful,Positive,84,15
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1,this case has passed the one year mark and while it shows signs of wear it is functional,Positive,88,18
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",1,other than that the leather is nice and soft the fit is very tight the cut out for the face is a good shape,Positive,107,24
It has everything I need and I couldn't ask for more.,1,it has everything i need and i couldnt ask for more,Positive,51,11
After receiving and using the product for just 2 days it broke.,0,after receiving and using the product for just days it broke,Negative,60,11
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1,this product is great it makes working a lot easier i can go to the copier while waiting on hold for something,Positive,110,22
None of the three sizes they sent with the headset would stay in my ears.,0,none of the three sizes they sent with the headset would stay in my ears,Negative,72,15
T-Mobile has the best customer service anywhere.,1,tmobile has the best customer service anywhere,Positive,46,7
Arrived quickly and much less expensive than others being sold.,1,arrived quickly and much less expensive than others being sold,Positive,62,10
We have tried 2 units and they both failed within 2 months.. Pros,0,we have tried units and they both failed within months pros,Negative,59,11
"Provides good protection and looks classy, too.",1,provides good protection and looks classy too,Positive,45,7
Krussel Always good.,1,krussel always good,Positive,19,3
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1,the tracfonewebsite is user friendly and makes it easy toactivate etc,Positive,69,11
The design is very good.4.,1,the design is very good,Positive,23,5
I great reception all the time.,1,i great reception all the time,Positive,30,6
I would highly recommend this product.,1,i would highly recommend this product,Positive,37,6
"Couldn't use the unit with sunglasses, not good in Texas!",0,couldnt use the unit with sunglasses not good in texas,Negative,54,10
It dit not work most of the time with my Nokia 5320.,0,it dit not work most of the time with my nokia,Negative,46,11
"Bought mainly for the charger, which broke soon after purchasing.",0,bought mainly for the charger which broke soon after purchasing,Negative,63,10
Fantastic buy and will get again for whatever my next phone is,1,fantastic buy and will get again for whatever my next phone is,Positive,62,12
"stay away from this store, be careful.",0,stay away from this store be careful,Negative,36,7
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1,this blueant supertooth handsfree phone speaker is awesome,Positive,58,8
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1,item arrived quickly and works great with my metro pcs samsung schr slider phone and sony premium sound in ear plugs,Positive,116,21
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1,it is light has plenty of battery capacity and is very confortable to wear for somewhat extended periods of time,Positive,112,20
disappointing.,0,disappointing,Negative,13,1
Blue Ant is easy to use.,1,blue ant is easy to use,Positive,23,6
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1,cheap but hey it works was pleasantly suprised given the low cost of this item,Positive,78,15
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0,the camera on the phone may be used as a dustpan when indoors id rather be using a disposable then this,Negative,103,21
Then a few days later the a puff of smoke came out of the phone while in use.,0,then a few days later the a puff of smoke came out of the phone while in use,Negative,76,18
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1,its very convenient and simple to use gets job done makes the car ride so much smoother,Positive,87,17
The nano stated it.My son was dissapointed.,0,the nano stated itmy son was dissapointed,Negative,41,7
The sound quality is excellent as well.,1,the sound quality is excellent as well,Positive,38,7
Its the best headset I have used.,1,its the best headset i have used,Positive,32,7
Would not reccommend.,0,would not reccommend,Negative,20,3
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1,they have been around for years and carries the highest quality of antiglare screen protector that i have found to date,Positive,119,21
Just what I wanted.,1,just what i wanted,Positive,18,4
This particular model would not work with my Motorola Q smartphone.,0,this particular model would not work with my motorola q smartphone,Negative,66,11
wont work right or atleast for me.,0,wont work right or atleast for me,Negative,33,7
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,0,in addition it feels amp looks as if the phone is all lightweight cheap plastic,Negative,79,15
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0,but now that it is out of warranty the same problems reoccurebottom line put your money somewhere else cingular will not support it,Negative,131,23
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",0,i really wanted the plantronics to be the right one but it has too many issues for methe good,Negative,93,19
Great product.,1,great product,Positive,13,2
Crisp and Clear.,1,crisp and clear,Positive,15,3
AFter the first charge kept going dead after 12 minutes.,0,after the first charge kept going dead after minutes,Negative,52,9
"VERY cheap plastic, creaks like an old wooden floor.",0,very cheap plastic creaks like an old wooden floor,Negative,50,9
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0,i get absolutely horrible reception in my apartment where with other phones i have not had this problem,Negative,103,18
The reception has been generally good.,1,the reception has been generally good,Positive,37,6
"Excellent sound, battery life and inconspicuous to boot!.",1,excellent sound battery life and inconspicuous to boot,Positive,54,8
Great bluetooth!.,1,great bluetooth,Positive,15,2
I highly recommend this case.,1,i highly recommend this case,Positive,28,5
WORTHWHILE.,1,worthwhile,Positive,10,1
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0,after my phone got to be about a year old its been slowly breaking despite much care on my part,Negative,95,20
I am sorry I made this purchase.,0,i am sorry i made this purchase,Negative,31,7
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0,i bought these hoping i could make my bluetooth headset fit better but these things made it impossible to wear,Negative,110,20
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0,treo and tmobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount,Negative,116,21
It was horrible!.,0,it was horrible,Negative,15,3
I don't think it would hold it too securly on your belt.,0,i dont think it would hold it too securly on your belt,Negative,54,12
This allows the possibility of double booking for the same date and time after the first.,0,this allows the possibility of double booking for the same date and time after the first,Negative,88,16
They work about 2 weeks then break.,0,they work about weeks then break,Negative,32,6
It is simple to use and I like it.,1,it is simple to use and i like it,Positive,33,9
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",1,its a great tool for entertainment communication and data managementoh be sure to use activesync for optimal data synchronization results,Positive,137,20
I can't use this case because the smell is disgusting.,0,i cant use this case because the smell is disgusting,Negative,52,10
NOT WHAT I WANTED.,0,not what i wanted,Negative,17,4
I own 2 of these cases and would order another.,1,i own of these cases and would order another,Positive,44,9
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1,i bought this battery with a coupon from amazon and im very happy with my purchase,Positive,82,16
"The internet access was fine, it the rare instance that it worked.",0,the internet access was fine it the rare instance that it worked,Negative,64,12
Perfect for the PS3.,1,perfect for the ps,Positive,18,4
"Five star Plus, plus.",1,five star plus plus,Positive,19,4
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1,a good quality bargain i bought this after i bought a cheapy from big lots that sounded awful and people on the other end couldnt hear me,Positive,137,27
$50 Down the drain.,0,down the drain,Negative,14,3
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0,i tried talking real loud but shouting on the telephone gets old and i was still told it wasnt great,Negative,100,20
"Good , works fine.",1,good works fine,Positive,15,3
For the price this was a great deal.,1,for the price this was a great deal,Positive,35,8
"Great price, too!",1,great price too,Positive,15,3
"If there is a wind, it is completely useless.",0,if there is a wind it is completely useless,Negative,43,9
Yes it's shiny on front side - and I love it!,1,yes its shiny on front side and i love it,Positive,41,10
Does Not Work.,0,does not work,Negative,13,3
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0,at first i thought i was grtting a good deal at until i plugged it into my phone vc razr,Negative,88,20
The reception through this headset is excellent.,1,the reception through this headset is excellent,Positive,47,7
2 thumbs up to this seller,1,thumbs up to this seller,Positive,24,5
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1,i have a verizon lg phone and they work well together good reception and range that exceeds feet line of sight,Positive,110,21
Improper description.... I had to return it.,0,improper description i had to return it,Negative,39,7
#1 It Works - #2 It is Comfortable.,1,it works it is comfortable,Positive,26,5
Battery charge-life is quite long.,1,battery chargelife is quite long,Positive,32,5
The Jabra EarGels fit my ears very well.,1,the jabra eargels fit my ears very well,Positive,39,8
Battery has no life.,0,battery has no life,Negative,19,4
I checked everywhere and there is no feature for it which is really disappointing.,0,i checked everywhere and there is no feature for it which is really disappointing,Negative,81,14
Product is exactly as described.,1,product is exactly as described,Positive,31,5
Gets a signal when other Verizon phones won't.,1,gets a signal when other verizon phones wont,Positive,44,8
Doesn't do the job.,0,doesnt do the job,Negative,17,4
I would recommend it.,1,i would recommend it,Positive,20,4
Plan on ordering from them again and again.,1,plan on ordering from them again and again,Positive,42,8
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1,that being said for a phone the camera is very nice many cool effects to play with and video is decent as well,Positive,110,23
I have been very satisfied with this cell phone from day one.,1,i have been very satisfied with this cell phone from day one,Positive,60,12
They keep getting better and better (this is my third one and I've had numerous Palms too).,1,they keep getting better and better this is my third one and ive had numerous palms too,Positive,87,17
Awkward to use and unreliable.,0,awkward to use and unreliable,Negative,29,5
The shipping time was also very quick!,1,the shipping time was also very quick,Positive,37,7
Not as good as I had hoped.,0,not as good as i had hoped,Negative,26,7
Good case!.,1,good case,Positive,9,2
Doesn't Work.,0,doesnt work,Negative,11,2
Really good product.,1,really good product,Positive,19,3
Unfortunately it did not work.,0,unfortunately it did not work,Negative,29,5
All three broke within two months of use.,0,all three broke within two months of use,Negative,40,8
dont buy it.,0,dont buy it,Negative,11,3
"My father has the V265, and the battery is dying.",0,my father has the v and the battery is dying,Negative,44,10
"However, the ear pads come off easily and after only one week I lost one.",0,however the ear pads come off easily and after only one week i lost one,Negative,71,15
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0,the calls drop the phone comes on and off at will the screen goes black and the worst of all it stops ringing intermittently,Negative,124,24
"Horrible, horrible protector.",0,horrible horrible protector,Negative,27,3
I don't like this Nokia either.,0,i dont like this nokia either,Negative,29,6
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0,reaching for the bottom row is uncomfortable and the send and end keys are not where i expect them to be,Negative,104,21
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0,i have bought this nokia cell phone a few weeks ago and it was a nightmare,Negative,74,16
It would take too long to describe how bad my customer service experience has been with Amazon.,0,it would take too long to describe how bad my customer service experience has been with amazon,Negative,94,17
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0,the only very disappointing thing was there was no speakerphone,Negative,63,10
Terrible.. My car will not accept this cassette.,0,terrible my car will not accept this cassette,Negative,45,8
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",0,product is useless since it does not have enough charging current to charge the cellphones i was planning to use it with,Negative,120,22
It's not what it says it is.,0,its not what it says it is,Negative,26,7
Stay Away From the Q!.,0,stay away from the q,Negative,20,5
Used and dirty.,0,used and dirty,Negative,14,3
Very unreliable service from T-mobile !,0,very unreliable service from tmobile,Negative,36,5
Not good enough for the price.,0,not good enough for the price,Negative,29,6
I bought two of them and neither will charge.,0,i bought two of them and neither will charge,Negative,44,9
It looks very nice.,1,it looks very nice,Positive,18,4
"This is an excellent tool, especially when paired with your phone's auto-answer.",1,this is an excellent tool especially when paired with your phones autoanswer,Positive,76,12
I have read other's reviews here but I haven't had any problem with it.,1,i have read others reviews here but i havent had any problem with it,Positive,68,14
These products cover up the important light sensor above the ear outlet.,0,these products cover up the important light sensor above the ear outlet,Negative,71,12
Comfortable in my hand.,1,comfortable in my hand,Positive,22,4
Just does not work.,0,just does not work,Negative,18,4
Poor Reliability.,0,poor reliability,Negative,16,2
(It works!),1,it works,Positive,8,2
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0,if i take a picture the battery drops a bar and starts beeping letting me know its dieing,Negative,89,18
"Terrible product, and waste of money!",0,terrible product and waste of money,Negative,35,6
Last time buying from you.,0,last time buying from you,Negative,25,5
It was a waste of my money.,0,it was a waste of my money,Negative,26,7
So far it has worked like a charm.,1,so far it has worked like a charm,Positive,33,8
"I have only had it for a few weeks, but so far, so good.",1,i have only had it for a few weeks but so far so good,Positive,53,14
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1,but in any case the best part is you can download these pictures to your laptop using ir or even send pictures from your laptop to the phone,Positive,140,28
Would recommend this item.,1,would recommend this item,Positive,25,4
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,1,its been my choice headset for yearsgreat sound good volume good noise cancellation,Positive,83,13
"Nice case, feels good in your hands.",1,nice case feels good in your hands,Positive,34,7
The item received was Counterfeit.,0,the item received was counterfeit,Negative,33,5
"Just really good.. So far, probably the best BT headset I have ever had.",1,just really good so far probably the best bt headset i have ever had,Positive,68,14
Works fine.,1,works fine,Positive,10,2
I received my headset in good time and was happy with it.,1,i received my headset in good time and was happy with it,Positive,56,12
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1,i was very pleased to see that i could replace my well travled swivel holster for my blackberry flip,Positive,100,19
My sister has one also and she loves it.,1,my sister has one also and she loves it,Positive,39,9
Good Quality.,1,good quality,Positive,12,2
This is by far the worst purchase I've made on Amazon.,0,this is by far the worst purchase ive made on amazon,Negative,52,11
Excellent dual-purpose headset.,1,excellent dualpurpose headset,Positive,29,3
Excellent!.,1,excellent,Positive,9,1
Does not work for listening to music with the cingular 8125.,0,does not work for listening to music with the cingular,Negative,54,10
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1,it seems completely secure both holding on to my belt and keeping the iphone inside,Positive,83,15
"The bottowm line...another worthless, cheap gimmick from Sprint.",0,the bottowm lineanother worthless cheap gimmick from sprint,Negative,59,8
Having trouble with volume.,0,having trouble with volume,Negative,26,4
The only good thing was that it fits comfortably on small ears.,1,the only good thing was that it fits comfortably on small ears,Positive,62,12
WARNING - DO NOT BUY!!.,0,warning do not buy,Negative,18,4
"I am pairing this with my iphone, and I could not be happier with it so far.",1,i am pairing this with my iphone and i could not be happier with it so far,Positive,74,17
"When it opens, the battery connection is broken and the device is turned off.",0,when it opens the battery connection is broken and the device is turned off,Negative,75,14
"I didn't want the clip going over the top of my ear, causing discomfort.",0,i didnt want the clip going over the top of my ear causing discomfort,Negative,69,14
Best headset ever!!!.,1,best headset ever,Positive,17,3
Don't trust their website and don't expect any helpful support.,0,dont trust their website and dont expect any helpful support,Negative,60,10
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1,it was that loudglad to say that the plantronics maintains a flawless connection to my cell and with no static during normal use,Positive,128,23
The speaker is of low quality so as making the ring tones sound very cheap.,0,the speaker is of low quality so as making the ring tones sound very cheap,Negative,74,15
"Fits comfortably, came with three sizes of earbud tips.",1,fits comfortably came with three sizes of earbud tips,Positive,53,9
Bad Reception.,0,bad reception,Negative,13,2
This product is very High quality Chinese CRAP!!!!!!,0,this product is very high quality chinese crap,Negative,46,8
It was quite comfortable in the ear.,1,it was quite comfortable in the ear,Positive,35,7
Don't buy this product - It fails!.,0,dont buy this product it fails,Negative,30,6
Everything about this product is wrong.First,0,everything about this product is wrongfirst,Negative,43,6
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1,the pairing of the two devices was so easy it barely took a couple minutes before i started making calls with the voice dialing feature,Positive,135,25
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0,this was utterly confusing at first which caused me to lose a couple of very very important contacts,Negative,100,18
Terrible phone holder.,0,terrible phone holder,Negative,21,3
The cutouts and buttons are placed perfectly.,1,the cutouts and buttons are placed perfectly,Positive,44,7
I love being able to use one headset for both by land-line and cell.,1,i love being able to use one headset for both by landline and cell,Positive,66,14
Problem is that the ear loops are made of weak material and break easily.,0,problem is that the ear loops are made of weak material and break easily,Negative,72,14
Not nearly as good looking as the AMAZON picture makes it look.,0,not nearly as good looking as the amazon picture makes it look,Negative,62,12
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1,but despite these few flaws this case is of exceptional quality and well worth the additional costs of owning an official oem product,Positive,133,23
How stupid is that?,0,how stupid is that,Negative,18,4
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,i can hear while im driving in the car and usually dont even have to put it on its loudest setting,Positive,98,21
Seller shipped quickly and much cheaper than the competitors.,1,seller shipped quickly and much cheaper than the competitors,Positive,60,9
"Good show, Samsung.",1,good show samsung,Positive,17,3
So I bought about 10 of these and saved alot of money.,1,so i bought about of these and saved alot of money,Positive,50,11
It always cuts out and makes a beep beep beep sound then says signal failed.,0,it always cuts out and makes a beep beep beep sound then says signal failed,Negative,75,15
Couldn't figure it out,0,couldnt figure it out,Negative,21,4
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0,my phone sounded ok not great ok but my wifes phone was almost totally unintelligible she couldnt understand a word being said on it,Negative,132,24
So I had to take the battery out of the phone put it all back together and then restart it.,0,so i had to take the battery out of the phone put it all back together and then restart it,Negative,90,20
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0,while i managed to bend the leaf spring back in place the metal now has enough stress that it will break on the next drop,Negative,121,25
Leopard Print is wonderfully wild!.,1,leopard print is wonderfully wild,Positive,33,5
Works for me.,1,works for me,Positive,12,3
"Saggy, floppy piece of junk.",0,saggy floppy piece of junk,Negative,26,5
much better than the hard plastic cases.,1,much better than the hard plastic cases,Positive,39,7
It also had a new problem.,0,it also had a new problem,Negative,25,6
Happy so far!.,1,happy so far,Positive,12,3
cool phone.,1,cool phone,Positive,10,2
Works good.,1,works good,Positive,10,2
Motorola finally got the voice quality of a bluetooth headset right.,1,motorola finally got the voice quality of a bluetooth headset right,Positive,67,11
It looses connection to the phone even when it is within a couple feet between the two.,0,it looses connection to the phone even when it is within a couple feet between the two,Negative,86,17
"but it is great, i would really recommend it",1,but it is great i would really recommend it,Positive,43,9
Makes it easier to keep up with my bluetooth when I'm not wearing it.,0,makes it easier to keep up with my bluetooth when im not wearing it,Negative,67,14
As I said above....PRETTY USELESS!,0,as i said abovepretty useless,Negative,29,5
Never got it!!!!!,0,never got it,Negative,12,3
This pair of headphones is the worst that I have ever had sound-wise.,0,this pair of headphones is the worst that i have ever had soundwise,Negative,67,13
[...] down the drain because of a weak snap!,0,down the drain because of a weak snap,Negative,37,8
Does not charge the Cingular (ATT) 8525 phone.,0,does not charge the cingular att phone,Negative,38,7
"You get extra minutes so that you can carry out the call and not get cut off.""",1,you get extra minutes so that you can carry out the call and not get cut off,Positive,76,17
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0,however after about a year the fliptop started to get loose and wobbly and eventually my screen went black and i couldnt receive and place calls,Negative,144,26
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0,i kept catching the cable on the seat and i had to pull the phone out to turn it on an off,Negative,90,22
The headset fulfills my requirements so I am happy with my purchase.,1,the headset fulfills my requirements so i am happy with my purchase,Positive,67,12
Logitech Bluetooth Headset is a 10!.,1,logitech bluetooth headset is a,Positive,31,5
